"xml_@ref","xml_text()","aiddata_id","iati_org_code","iati_org_name"
"","Population Services International (PSI)","62634985","21032","Population Services International"
"41101","Convention to Combat Desertification (UNCCD)","64235438","41101","Convention to Combat Desertification"
"41101","UNCCD","64235438","41101","Convention to Combat Desertification"
"41101","CNULD - Convention des Nations Unies sur la lutte contre la d?sertification","64235438","41101","Convention to Combat Desertification"
"41101","Convention to Combat Desertification","64235438","41101","Convention to Combat Desertification"
"41101","NNUU OTROS: UNCCD - Convenci?_n de las Naciones Unidas de Lucha Contra la Desertificaci?_n","64235438","41101","Convention to Combat Desertification"
"41101","UNCCD - United Nations Convention to Combat Desertification","64235438","41101","Convention to Combat Desertification"
"","UNCCD - United Nations Convention to Combat Desertification","64235438","41101","Convention to Combat Desertification"
"","United Nations Convention to Combat Desertification","64235438","41101","Convention to Combat Desertification"
"","UNCCD,UN Conv.Combat Desertifi","64235438","41101","Convention to Combat Desertification"
"36","INTERNATIONAL FUND FOR AGRICULTURAL DEVE","24","41108","International Fund for Agricultural Development"
"41108","International Fund for Agricultural Development","24","41108","International Fund for Agricultural Development"
"41108","International Fund for Agricultural Development","24","41108","International Fund for Agricultural Development"
"41108","IFAD","24","41108","International Fund for Agricultural Development"
"41108","International Fund for Agricultural Development (IFAD)","24","41108","International Fund for Agricultural Development"
"41108","IFAD - International Fund for Agricultural Development","24","41108","International Fund for Agricultural Development"
"","International Fund for Agricultural Development","24","41108","International Fund for Agricultural Development"
"","International Fund for Agricultural Development","24","41108","International Fund for Agricultural Development"
"","INTERNATIONAL FUND FOR AGRICULTURE","24","41108","International Fund for Agricultural Development"
"","IFAD","24","41108","International Fund for Agricultural Development"
"","IFAD - International Fund forAgricultural Development","24","41108","International Fund for Agricultural Development"
"","IFAD Int. Fund Agriculture","24","41108","International Fund for Agricultural Development"
"297","JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"1784","POL-UNAIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"12030","UNAIDS - Unified Budget,Results and Accountablity Framework (UBRAF)","73","41110","Joint United Nations Programme on HIV/AIDS"
"41110","ONUSIDA - Programme commun des Nations Unies sur le VIH/sida","73","41110","Joint United Nations Programme on HIV/AIDS"
"41110","UNAIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"41110","Joint United Nations Programme on HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"41110","NNUU OTROS: ONUSIDA - Programa Conjunto de las Naciones Unidas sobre el VIH/SIDA","73","41110","Joint United Nations Programme on HIV/AIDS"
"41110","UNAIDS - Joint United Nations Programme on HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","United Nations Joint Programme","73","41110","Joint United Nations Programme on HIV/AIDS"
"","United Nations Joint Programme on HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","Joint United Nations Program on HIV/AIDS (UNAIDS)","73","41110","Joint United Nations Programme on HIV/AIDS"
"","Joint UN Programme on HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","UNAIDS - Joint United Nations Programme on HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","UNAIDS Reg.East.South.Africa","73","41110","Joint United Nations Programme on HIV/AIDS"
"","UNAIDS West Africa","73","41110","Joint United Nations Programme on HIV/AIDS"
"","Allocation of unearmarked funds by UNAIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","UN Programme on HIV/AIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","UNAIDS","73","41110","Joint United Nations Programme on HIV/AIDS"
"","OCHA - United Nations Office for the Coordination of Humanitarian Affairs","73","41110","Joint United Nations Programme on HIV/AIDS"
"329","DANIDA: UNCDF ONLY","40557594","41111","United Nations Capital Development Fund"
"346","NORWEGIAN AG  DEV COOP:UNCDF","40557594","41111","United Nations Capital Development Fund"
"1853","UNITED NATIONS CAPITAL DEVELOP","40557594","41111","United Nations Capital Development Fund"
"10777","United Nations Capital Development Fund","40557594","41111","United Nations Capital Development Fund"
"41111","United Nations Capital Development Fund","40557594","41111","United Nations Capital Development Fund"
"41111","UNCDF - United Nations Capital Development Fund","40557594","41111","United Nations Capital Development Fund"
"41111","United Nations Capital Development Fund","40557594","41111","United Nations Capital Development Fund"
"","UNCDF","40557594","41111","United Nations Capital Development Fund"
"","UNCDF - United Nations Capital Development Fund","40557594","41111","United Nations Capital Development Fund"
"","UNCDF(UN Capital Developm.Fund","40557594","41111","United Nations Capital Development Fund"
"239","UNITED NATIONS CONFERENCE ON T","76547806","41112","United Nations Conference on Trade and Development"
"390","UN CONF ON TRADE & DVPT:UNCDF","76547806","41112","United Nations Conference on Trade and Development"
"41112","UNCTAD","76547806","41112","United Nations Conference on Trade and Development"
"41112","United Nations Conference on Trade and Development (UNCTAD)","76547806","41112","United Nations Conference on Trade and Development"
"41112","NNUU OTROS: UNCTAD - Conferencia de las Naciones Unidas sobre Comercio y Desarrollo","76547806","41112","United Nations Conference on Trade and Development"
"41112","United Nations Conference on Trade and Development","76547806","41112","United Nations Conference on Trade and Development"
"41112","UNCTAD - United Nations Conference on Trade and Development","76547806","41112","United Nations Conference on Trade and Development"
"","UNCTAD","76547806","41112","United Nations Conference on Trade and Development"
"","UNCTAD - United Nations Conference on Trade and Development","76547806","41112","United Nations Conference on Trade and Development"
"9","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"12","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"12","UNITED NATIONS DEVELOPMENT PROGRAMME","48","41114","United Nations Development Programme"
"25","United Nations Development Pro","48","41114","United Nations Development Programme"
"50","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"69","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"204","United Nations Development Pro","48","41114","United Nations Development Programme"
"208","UNDP","48","41114","United Nations Development Programme"
"229","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"262","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"289","UNDP","48","41114","United Nations Development Programme"
"327","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"384","UNDP UNITED ARAB EMIRATE UNCDF","48","41114","United Nations Development Programme"
"417","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"433","UNDP/TRAC","48","41114","United Nations Development Programme"
"524","United Nations Dev.Programme (","48","41114","United Nations Development Programme"
"540","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"609","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"638","UNDP Direct Execution","48","41114","United Nations Development Programme"
"639","UNDP DIRECT EXECUTION","48","41114","United Nations Development Programme"
"645","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"659","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"671","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"672","UNDP","48","41114","United Nations Development Programme"
"816","UNDP - Direct Execution","48","41114","United Nations Development Programme"
"861","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"889","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"904","UNDP/Djibouti","48","41114","United Nations Development Programme"
"946","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"962","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"1022","UNDP DEX PROYECTS","48","41114","United Nations Development Programme"
"1125","United Nations Development Pro","48","41114","United Nations Development Programme"
"1127","UNDP - Direct Execution","48","41114","United Nations Development Programme"
"1271","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"1321","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"1396","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"1422","UNITED NATIONS  DEVELOPMENT PR","48","41114","United Nations Development Programme"
"1449","United Nations Development Pro","48","41114","United Nations Development Programme"
"1526","UNDP DIRECT EXECUTION","48","41114","United Nations Development Programme"
"1556","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"1579","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"1590","UNDP","48","41114","United Nations Development Programme"
"1616","UNDP - Direct Execution","48","41114","United Nations Development Programme"
"1625","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"1654","United Nations Development Pro","48","41114","United Nations Development Programme"
"1767","United Nations Development Pro","48","41114","United Nations Development Programme"
"1846","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"1921","UNDP","48","41114","United Nations Development Programme"
"1940","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"1961","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"1974","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2068","UNDP MEXICO OFFICE","48","41114","United Nations Development Programme"
"2084","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2135","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2178","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2186","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2198","United Nations Development Pro","48","41114","United Nations Development Programme"
"2219","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2240","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2252","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2258","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2329","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2352","UNDP: Direct Execution","48","41114","United Nations Development Programme"
"2373","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2386","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2388","UNDP - PAPP","48","41114","United Nations Development Programme"
"2389","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2417","UNITED NATION DEVELOPMENT PROG","48","41114","United Nations Development Programme"
"2419","United Nations Development Pro","48","41114","United Nations Development Programme"
"2422","UNDP DIRECT EXECUTION","48","41114","United Nations Development Programme"
"2454","UNDP","48","41114","United Nations Development Programme"
"2456","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"2498","UNDP","48","41114","United Nations Development Programme"
"2500","United Nations Development Pro","48","41114","United Nations Development Programme"
"2505","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2507","United Nations Development Pro","48","41114","United Nations Development Programme"
"2557","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2580","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2592","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2647","UNDP","48","41114","United Nations Development Programme"
"2699","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2717","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2733","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2773","UNDP - Direct Execution","48","41114","United Nations Development Programme"
"2815","UNDP","48","41114","United Nations Development Programme"
"2834","United Nations Development Pro","48","41114","United Nations Development Programme"
"2854","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2869","UNITED NATIONS DEVELOPMENT PRO","48","41114","United Nations Development Programme"
"2885","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"2889","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"2953","UNITED NATION'S DEVELOPMENT PR","48","41114","United Nations Development Programme"
"2975","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"3003","UNDP Office for Project Servic","48","41114","United Nations Development Programme"
"3111","United Nations Development P","48","41114","United Nations Development Programme"
"3146","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"3178","United Nations Development Pro","48","41114","United Nations Development Programme"
"3235","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"3315","UNDP - DIRECT EXECUTION","48","41114","United Nations Development Programme"
"3332","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"3345","UNDP","48","41114","United Nations Development Programme"
"3474","UNDP (Direct Execution)","48","41114","United Nations Development Programme"
"3528","UNDP","48","41114","United Nations Development Programme"
"3552","UNDP - Direct Execution","48","41114","United Nations Development Programme"
"10409","The US Committee for UNDP (UNDP-USA)  supports the work of the United Nations Development Programme to improve the quality of life for millions of people around the world by promoting democratic governance, proverty reduction, crisis preve","48","41114","United Nations Development Programme"
"10714","UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT","48","41114","United Nations Development Programme"
"11793","UNDP AS MA_POOLED FUNDS","48","41114","United Nations Development Programme"
"41114","UNDP","48","41114","United Nations Development Programme"
"41114","UNDP United Nation s Development Programme","48","41114","United Nations Development Programme"
"41114","United Nations Development Programme","48","41114","United Nations Development Programme"
"41114","United Nations Development Programme (UNDP)","48","41114","United Nations Development Programme"
"41114","NNUU PNUD - Programa de las Naciones Unidas para el Desarrollo","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - ??thiopie","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Cambodge","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Cuba","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Ha??ti","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Kenya","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Mali","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Mozambique","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Nigeria","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - P?rou","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Programme d'assistance aux Palestiniens","48","41114","United Nations Development Programme"
"41114","PNUD - Programme des Nations Unies pour le d?veloppement - Zambie","48","41114","United Nations Development Programme"
"41114","PNUD Division des interventions d'urgence","48","41114","United Nations Development Programme"
"41114","PNUD/PAPP - Programme des Nations Unies pour le d?veloppement/Programme of Assistance to the Palestinian People","48","41114","United Nations Development Programme"
"41114","Programme VIH et d?veloppement du PNUD en Asie du Sud-Est / UNOPS","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Cambodia","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Cuba","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Ethiopia","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Haiti","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Kenya","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Mali","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Mozambique","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Nigeria","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Peru","48","41114","United Nations Development Programme"
"41114","UNDP - United Nations Development Programme - Zambia","48","41114","United Nations Development Programme"
"41114","UNDP Emergency Response Division","48","41114","United Nations Development Programme"
"41114","UNDP South East Asia HIV and Development Programme / UNOPS","48","41114","United Nations Development Programme"
"41114","UNDP/PAPP - United Nations Development Programme/Programme of Assistance to the Palestinian People","48","41114","United Nations Development Programme"
"41114","UNDP-PAPP - United Nations Development Programme - Programme of Assistance to the Palestinian People","48","41114","United Nations Development Programme"
"41114","United Nations Development Programme","48","41114","United Nations Development Programme"
"41114","UNDP (RWANDA)","48","41114","United Nations Development Programme"
"41114","UNDP Contribution Account (Nepal)","48","41114","United Nations Development Programme"
"41116","UNEP","48","41114","United Nations Development Programme"
"41116","United Nations Environment Programme","48","41114","United Nations Development Programme"
"41116","United Nations Environment Programme (UNEP)","48","41114","United Nations Development Programme"
"41116","NNUU OTROS: PNUMA - Programa de las Naciones Unidas para el Medio Ambiente","48","41114","United Nations Development Programme"
"41116","United Nations Environment Programme","48","41114","United Nations Development Programme"
"41148","UNDPA","48","41114","United Nations Development Programme"
"99999","UNDP","48","41114","United Nations Development Programme"
"GGOrg:188","United Nations Development Programme (UNDP)","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement - ??thiopie","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement - Cambodge","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement - Ha??ti","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement - P?rou","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement - Programme d'assistance aux Palestiniens","48","41114","United Nations Development Programme"
"","PNUD - Programme des Nations Unies pour le d?veloppement - Zambie","48","41114","United Nations Development Programme"
"","PNUD Division des interventions d'urgence","48","41114","United Nations Development Programme"
"","PNUD/PAPP - Programme des Nations Unies pour le d?veloppement/Programme of Assistance to the Palestinian People","48","41114","United Nations Development Programme"
"","Allocation of unearmarked funds by UNDP","48","41114","United Nations Development Programme"
"","UNDP - Bureau for Crisis Prevntn &Recv","48","41114","United Nations Development Programme"
"","UNDP - Bureau for Development Policy","48","41114","United Nations Development Programme"
"","UNDP - Intern Programme","48","41114","United Nations Development Programme"
"","UNDP - Internship Programme","48","41114","United Nations Development Programme"
"","UNDP - MPTF","48","41114","United Nations Development Programme"
"","UNDP - Regionl Bur for Arab States/HQ","48","41114","United Nations Development Programme"
"","UNDP - Reg'l Bur for Asia &Pacific/HQ","48","41114","United Nations Development Programme"
"","UNDP - Reg'l Bur Latin Amer & Car./HQ","48","41114","United Nations Development Programme"
"","UNDP - Special Unit for TCDC","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Cambodia","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Cuba","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Ethiopia","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Haiti","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Kenya","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Mali","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Mozambique","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Nigeria","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Peru","48","41114","United Nations Development Programme"
"","UNDP - United Nations Development Programme - Zambia","48","41114","United Nations Development Programme"
"","UNDP -Bur Resc & Str Partnerships","48","41114","United Nations Development Programme"
"","UNDP -Development Group Office","48","41114","United Nations Development Programme"
"","UNDP Development Programme","48","41114","United Nations Development Programme"
"","UNDP Emergency Response Division","48","41114","United Nations Development Programme"
"","UNDP Europe & Central Asia","48","41114","United Nations Development Programme"
"","UNDP Europe & Central Asia","48","41114","United Nations Development Programme"
"","UNDP MULTI DONOR TRUST FUND","48","41114","United Nations Development Programme"
"","UNDP -Office of the Administrator","48","41114","United Nations Development Programme"
"","UNDP -Regional Bureau for Africa/HQ","48","41114","United Nations Development Programme"
"","UNDP Res Rep India","48","41114","United Nations Development Programme"
"","UNDP South East Asia HIV and Development Programme / UNOPS","48","41114","United Nations Development Programme"
"","UNDP/GEF","48","41114","United Nations Development Programme"
"","UNDP/MDTF","48","41114","United Nations Development Programme"
"","UNDP/PAPP - United Nations Development Programme/Programme of Assistance to the Palestinian People","48","41114","United Nations Development Programme"
"","UNDP-PAPP - United Nations Development Programme - Programme of Assistance to the Palestinian People","48","41114","United Nations Development Programme"
"","United Nations Development Pro","48","41114","United Nations Development Programme"
"","United Nations Development Programme (UNDP)","48","41114","United Nations Development Programme"
"","United Nations Development Programme in Southern Sudan","48","41114","United Nations Development Programme"
"","UN Development Programme (UNDP)","48","41114","United Nations Development Programme"
"","UN United Nations Development Programme","48","41114","United Nations Development Programme"
"","UNDP","48","41114","United Nations Development Programme"
"","UNDP - JP","48","41114","United Nations Development Programme"
"","UNDP - MDTF","48","41114","United Nations Development Programme"
"","UNDP - USA","48","41114","United Nations Development Programme"
"","UNDP Administered Trust Fund","48","41114","United Nations Development Programme"
"","United Nations Development Programe","48","41114","United Nations Development Programme"
"","United Nations Development Programme","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Angola","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Argentina","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Belarus","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Belize","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Bolivia","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Bosnia-Herzegovina","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Central African Republic","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Chad","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Cote d'Ivoire","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Cuba","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Democratic Republic of Congo","48","41114","United Nations Development Programme"
"","United Nations Development Programme, El Salvador","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Equatorial Guinea","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Guinea-Bissau","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Haiti","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Honduras","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Iran","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Iraq","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Kyrgyzstan","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Maldives","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Mauritania","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Montenegro","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Myanmar","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Nepal","48","41114","United Nations Development Programme"
